Speed / Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
2.5,9.160649803,2.069153218,0,8.538323221,6.785004044,4.74398159,4.902581418,2.834556754,6.93609544,2.703944143,6.210499908,5.507377507,4.621061662,3.668884572,6.53050583,3.797604072,4.089230999,4.842240883,10.18232479,8.487095669
7.5,7.977859746,2.360959732,1.442677336,8.496108855,7.897609536,5.55124456,5.142195647,0.694087462,5.252271028,2.279833686,8.231800644,6.192991187,4.287020321,3.687094818,5.558173289,3.10567646,2.760779628,5.882519924,9.857750259,5.750710492
12.5,6.734209596,1.502200287,2.431976355,8.493462473,7.484273058,6.06966967,4.27042515,0,6.790371817,1.14616802,7.185248196,7.824475455,1.549182645,4.283040166,8.639130682,5.462552429,3.861288794,4.657867615,9.9021823,5.827806334
17.5,7.534518322,14.35031642,10.61358238,8.622203222,8.653658415,3.424225222,2.913513859,1.831774029,8.049373132,1.51712531,7.015897968,7.233508023,4.544484737,5.419306369,9.354221392,3.358191109,3.935250101,5.384844454,10.61422932,4.844342201
22.5,7.203206994,13.50864897,13.78682382,10.50576854,7.543868761,3.267660858,4.500801019,2.370300666,5.976430993,1.012737346,8.212531053,6.803799287,3.432807804,5.040164052,6.011865693,3.960745709,3.159765861,6.131864353,10.00701324,8.371514697
27.5,7.19632157,16.54462263,15.49725933,9.858065818,7.566251348,2.769877219,2.889566635,1.21328071,7.253509161,2.369370471,8.351687299,5.524859068,5.447008165,2.47181004,7.619041975,2.597355716,1.836429355,4.678455991,11.08267504,7.159623699
32.5,7.622513042,20.25867805,17.66396014,8.210559263,7.080525007,3.40338905,5.77163033,0.3462665,8.563945728,2.324338773,7.456071379,7.162260378,4.638229689,3.857917466,5.759118024,5.362143833,2.655261899,6.014502561,9.933974108,7.817185824
37.5,6.809459479,22.80806913,20.85454494,9.368870743,7.57445245,6.017889314,5.544452754,1.656196042,7.366440887,3.136497408,7.526935569,6.292334812,3.358875454,4.280859464,6.834686772,4.548004524,3.820681056,4.297560773,9.761270195,7.058708492
42.5,5.296743689,24.89046639,22.42385483,10.7748054,7.031100125,5.114722792,3.924289152,2.318455946,8.179014953,3.480159239,7.929740491,6.743527356,4.32936415,4.504413235,5.102629286,5.165139877,4.14693256,5.393302608,10.13776668,5.89779205
47.5,6.588974274,28.77374498,27.11158609,8.508142029,6.433810915,4.316597561,5.369580978,1.956194395,7.736800417,3.547043355,6.344119662,7.133337972,3.851275262,2.775396944,6.0884664,5.362078059,4.222281038,5.663595339,9.018019705,6.378765988
